,Proximal Tubule,Principal Cells,Thick Ascending Limb,Intercalated Cells Type A,Endothelial Cell,Distal Convoluted Tubule,Connecting Tubule,Mesangial Cells,Intercalated Cells Type B,Leukocyte
68,0.8675496,0.09676378,0.002952544,0.0056597386,0.0054860525,0.014265719,0.0034907828,0.0025784269,0.0008594585,0.00039401054
69,0.083973765,0.1422797,0.16295157,0.10086773,0.039280534,0.18990877,0.014480624,0.2653006,0.0001757144,0.0007809775
70,0.110066764,0.16074255,0.1582437,0.015177574,0.004511154,0.5411044,0.0042620725,0.0045148036,0.00018026015,0.0011967799
71,0.11946489,0.13221572,0.07695017,0.029417852,0.20508276,0.35252365,0.07042645,0.013072712,0.0006998413,0.00014602173
72,0.016002888,0.011015594,0.0007150879,0.0075315433,0.8086402,0.001443476,0.0018187849,0.14910252,0.0032690754,0.00046089132
73,8.882678e-06,0.0004410956,0.00040200318,2.7537755e-05,0.00046356354,4.0683175e-05,2.3778395e-05,0.0001541486,4.9926486e-05,0.9983884
74,0.04945113,0.06438636,0.14067149,0.051850554,0.0013541619,0.25257024,0.017907914,0.4203391,0.00026306382,0.0012060007
75,0.37682205,0.37935168,0.08821324,0.1398646,0.003842257,0.0007112344,0.008416981,0.0013427101,0.0010794327,0.000355737
76,0.038869042,0.122342944,0.0028221805,0.0025696647,0.09397908,0.012529409,0.20237564,0.5218881,0.00016127707,0.0024626413
77,0.008984819,0.01302929,0.017987052,0.08933189,0.0023602166,0.00023698101,0.095858075,0.0007865315,0.77138096,4.416227e-05
78,0.109149836,0.198803,0.21263608,0.0017079685,0.0360834,0.43446174,0.0047005434,0.00034829066,0.00027341754,0.0018357822
79,0.02589166,0.05030449,0.011824297,0.12196802,0.3638278,0.21484266,0.2001435,0.00690416,0.0038840014,0.0004094975
80,0.32437104,0.61279553,0.036721367,0.0040782033,0.0078167515,0.0077152555,0.0010062072,0.0045992,0.0003655312,0.0005308751
81,0.058053896,0.05997376,0.11459326,0.014705632,0.061876677,0.42013296,0.002904067,0.00083808834,0.0008484678,0.26607326
82,0.17621511,0.21621163,0.23429574,0.0068244413,0.081035234,0.0049742605,0.002738616,0.27508894,0.0023573248,0.00025870747
83,0.0750909,0.061096855,0.16339096,0.6572439,0.0046685687,0.010425935,0.0033254323,0.0133461775,0.0005310257,0.010880106
84,0.725992,0.028945353,0.1208364,0.047046155,0.0121801,0.0055671628,0.023006463,0.026009131,0.0015627283,0.0088545615
85,0.067246184,0.04310335,0.21319751,0.5660515,0.09350563,0.000977529,0.0005623816,0.013899281,0.0011079023,0.00034878432
86,0.052046444,0.1655059,0.19985303,0.0028052744,0.5703447,0.0017356963,0.0035232508,0.0028033112,0.00035709256,0.0010253672
87,0.65853125,0.10378871,0.21682666,0.0074101333,0.0026456206,0.0022957146,0.000496869,0.0024243176,0.00014972084,0.0054310253
88,0.36453554,0.09040311,0.43708643,0.010314081,0.07130866,0.015042554,0.0021117707,0.0068889214,0.0007405321,0.0015684476
89,0.087290145,0.014124738,0.003783915,0.87021124,0.0031797802,0.00020755762,0.0104869045,0.0038371887,0.003266052,0.003612583
